pass,category,name,size,players,version,difficulty,water,rock,nongrass,water_touched,land_components,obj_count,hero,rhero,town,rtown,mine,garrison,water_objs,teams,underground,zmax,border_gates,victory,loss,skipped,reject,h3m
1,strict,Judgement Day,36,3,ROE,1,0,471,1296,False,4,303,1,0,3,0,16,3,0,0,0,0,0,0,-1,128,,Judgement Day.h3m
1,strict,King of Pain,72,3,SOD,1,0,0,2884,False,1,1657,0,0,0,5,38,0,2,0,0,0,0,-1,-1,751,,King of Pain.h3m
0,strict,A Warm and Familiar Place,36,2,SOD,1,0,176,1296,False,1,730,2,0,2,0,13,0,0,0,1,1,0,1,-1,0,UNDERGROUND;ZMAX=1,A Warm and Familiar Place.h3m
0,open,Adventures of Jared Haret,36,3,SOD,4,405,0,1296,True,2,514,0,0,4,0,9,0,7,0,1,1,0,6,1,715,UNDERGROUND;ZMAX=1;OPEN_WATER,Adventures of Jared Haret.h3m
0,open,Arrogance,36,4,SOD,1,258,0,1296,True,2,605,0,0,0,8,8,0,30,0,1,1,0,-1,-1,0,UNDERGROUND;ZMAX=1;OPEN_WATER,Arrogance.h3m
0,open,Arrogance Allied,36,4,SOD,1,258,0,1296,True,2,605,0,0,0,8,8,0,30,2,1,1,0,-1,-1,0,UNDERGROUND;ZMAX=1;OPEN_WATER;TEAMS=2,Arrogance Allied.h3m
0,open,Barbarian Breakout,36,4,ROE,2,499,0,1296,True,1,733,0,0,2,2,17,0,5,3,1,1,0,-1,-1,136,UNDERGROUND;ZMAX=1;OPEN_WATER;TEAMS=3,Barbarian Breakout.h3m
0,open,Barbarian BreakoutA,36,4,ROE,2,499,0,1296,True,1,733,0,0,2,2,17,0,5,2,1,1,0,-1,-1,136,UNDERGROUND;ZMAX=1;OPEN_WATER;TEAMS=2,Barbarian BreakoutA.h3m
0,strict,Chasing a Dream,36,3,SOD,2,0,0,779,False,1,462,0,0,0,3,20,0,0,0,1,1,0,-1,-1,12,UNDERGROUND;ZMAX=1,Chasing a Dream.h3m
0,open,Dead and Buried,36,3,ROE,2,399,0,1021,True,5,755,0,0,2,1,11,0,11,0,1,1,0,-1,-1,38,UNDERGROUND;ZMAX=1;OPEN_WATER,Dead and Buried.h3m
0,open,Deluge,36,3,SOD,2,232,0,545,True,3,501,0,0,2,3,24,0,0,0,1,1,0,-1,-1,20,UNDERGROUND;ZMAX=1;OPEN_WATER,Deluge.h3m
0,open,Dungeon Keeper,36,2,AB,1,647,0,647,True,1,954,0,0,2,0,12,0,40,0,1,1,0,-1,-1,0,UNDERGROUND;ZMAX=1;OPEN_WATER,Dungeon Keeper.h3m
0,strict,Dwarven Gold,36,3,SOD,0,0,0,1234,False,1,990,0,0,0,3,26,0,3,0,1,1,0,2,-1,184,UNDERGROUND;ZMAX=1,Dwarven Gold.h3m
0,strict,Elbow Room,36,6,AB,2,0,0,0,False,1,473,0,0,0,8,0,0,1,0,0,0,1,-1,-1,48,GATE,Elbow Room.h3m
0,strict,Elbow Room(Allies),36,6,AB,2,0,0,0,False,1,473,0,0,0,8,0,0,1,3,0,0,1,-1,-1,48,GATE;TEAMS=3,Elbow Room(Allies).h3m
0,open,For Sale,36,3,SOD,2,254,0,927,True,1,514,0,3,1,3,11,0,13,2,0,0,0,6,0,12,OPEN_WATER;TEAMS=2,For Sale.h3m
0,open,Fort Noxis,36,2,AB,1,216,0,1096,True,1,1011,0,4,0,5,16,3,1,0,1,1,0,-1,0,48,UNDERGROUND;ZMAX=1;OPEN_WATER,Fort Noxis.h3m
0,open,Freedom,36,3,AB,1,42,0,1296,True,1,704,1,0,2,2,19,1,1,0,1,1,0,-1,-1,74,UNDERGROUND;ZMAX=1;OPEN_WATER,Freedom.h3m
0,strict,Good to Go,36,4,ROE,1,0,0,799,False,1,413,0,2,2,1,6,0,2,3,0,0,0,-1,-1,139,TEAMS=3,Good to Go.h3m
0,strict,Irrational Hostility,36,4,AB,1,0,0,1296,False,1,839,0,0,0,5,29,0,0,0,1,1,0,-1,-1,12,UNDERGROUND;ZMAX=1,Irrational Hostility.h3m
0,strict,Jihad,36,7,AB,1,0,0,1296,False,1,842,0,0,0,7,42,0,0,0,1,1,0,-1,-1,44,UNDERGROUND;ZMAX=1,Jihad.h3m
0,strict,Key to Victory,36,2,ROE,0,0,0,0,False,1,740,1,0,0,2,14,0,1,0,1,1,0,-1,-1,162,UNDERGROUND;ZMAX=1,Key to Victory.h3m
0,open,Knee Deep in the Dead,36,2,ROE,2,77,0,1022,True,1,413,0,0,2,0,16,1,2,0,0,0,0,-1,-1,150,OPEN_WATER,Knee Deep in the Dead.h3m
0,strict,Manifest Destiny,36,8,ROE,2,0,0,1296,False,1,869,0,0,8,0,16,16,0,0,1,1,0,9,-1,0,UNDERGROUND;ZMAX=1,Manifest Destiny.h3m
0,strict,Sands of Blood,36,4,AB,1,0,0,1296,False,1,575,0,0,0,4,16,4,0,0,1,1,0,-1,-1,32,UNDERGROUND;ZMAX=1,Sands of Blood.h3m
0,strict,Terrible Rumor,36,6,SOD,1,0,0,321,False,1,792,1,6,1,7,33,1,0,0,1,1,1,-1,-1,24,UNDERGROUND;ZMAX=1;GATE,Terrible Rumor.h3m
0,open,The Newcomers,36,4,AB,2,74,0,848,True,1,1258,0,6,4,8,24,5,0,0,1,1,0,-1,-1,164,UNDERGROUND;ZMAX=1;OPEN_WATER,The Newcomers.h3m
0,strict,Time's Up,36,7,AB,2,0,0,706,False,1,1193,0,0,0,7,24,0,0,0,1,1,7,-1,-1,18,UNDERGROUND;ZMAX=1;GATE,Time's Up.h3m
0,strict,Too Many Monsters,36,4,SOD,1,0,0,1033,False,1,605,0,4,0,4,19,0,0,0,0,0,1,8,-1,386,GATE,Too Many Monsters.h3m
0,strict,Twins,36,2,AB,1,0,0,987,False,1,803,0,2,0,2,21,2,1,0,1,1,0,-1,2,44,UNDERGROUND;ZMAX=1,Twins.h3m
0,open,Twins_water,36,2,AB,1,108,0,990,True,1,803,0,2,0,2,21,2,1,0,1,1,0,-1,2,44,UNDERGROUND;ZMAX=1;OPEN_WATER,Twins_water.h3m
0,open,All for One,72,3,ROE,1,1086,0,3780,True,8,2027,1,0,8,3,33,4,39,0,1,1,0,-1,-1,225,UNDERGROUND;ZMAX=1;OPEN_WATER,All for One.h3m
0,open,And One for All,72,4,SOD,1,1639,0,2304,True,1,687,0,0,0,16,32,0,44,0,0,0,0,-1,-1,80,OPEN_WATER,And One for All.h3m
0,open,Ascension,72,3,ROE,1,2670,0,3007,True,1,1246,0,0,0,4,23,0,13,0,0,0,0,-1,-1,0,OPEN_WATER,Ascension.h3m
0,open,Buried Treasure,72,4,ROE,1,1434,0,4858,True,7,1930,0,0,4,6,33,0,30,0,1,1,0,0,-1,8,UNDERGROUND;ZMAX=1;OPEN_WATER,Buried Treasure.h3m
0,open,Carpe Diem,72,6,SOD,1,2167,0,4289,True,7,2239,0,0,1,15,42,0,62,0,1,1,2,-1,-1,259,UNDERGROUND;ZMAX=1;GATE;OPEN_WATER,Carpe Diem.h3m
0,open,Carpe Diem - Allied,72,6,SOD,1,2167,0,4289,True,7,2239,0,0,1,15,42,0,62,3,1,1,2,-1,-1,259,UNDERGROUND;ZMAX=1;GATE;OPEN_WATER;TEAMS=3,Carpe Diem - Allied.h3m
0,open,Caught in the Middle,72,5,SOD,3,810,0,1900,True,3,1517,1,0,7,3,39,0,30,3,1,1,0,-1,-1,170,UNDERGROUND;ZMAX=1;OPEN_WATER;TEAMS=3,Caught in the Middle.h3m
0,open,Crimson and Clover,72,4,ROE,1,1382,0,1851,True,4,1563,0,0,0,6,28,3,2,0,1,1,0,-1,-1,0,UNDERGROUND;ZMAX=1;OPEN_WATER,Crimson and Clover.h3m
0,open,Crimson and CloverA,72,4,ROE,1,1382,0,1851,True,4,1563,0,0,0,6,28,3,2,2,1,1,0,-1,-1,0,UNDERGROUND;ZMAX=1;OPEN_WATER;TEAMS=2,Crimson and CloverA.h3m
0,open,Darwin's Prize,72,4,AB,1,401,0,2449,True,1,1854,0,0,0,5,20,5,21,0,0,0,0,-1,-1,164,OPEN_WATER,Darwin's Prize.h3m
0,open,Darwin's Prize(Allies),72,4,AB,1,401,0,2449,True,1,1860,0,0,0,5,20,5,25,2,1,0,0,-1,-1,142,UNDERGROUND;OPEN_WATER;TEAMS=2,Darwin's Prize(Allies).h3m
0,open,Dawn of War,72,6,AB,1,1111,0,3917,True,4,1593,0,0,2,5,35,0,2,5,0,0,0,-1,-1,40,OPEN_WATER;TEAMS=5,Dawn of War.h3m
0,open,Divided Loyalties,72,4,ROE,1,652,0,1968,True,1,3752,0,0,0,8,39,0,8,0,1,1,0,-1,-1,0,UNDERGROUND;ZMAX=1;OPEN_WATER,Divided Loyalties.h3m
0,open,Divided LoyaltiesA,72,4,ROE,1,652,0,1968,True,1,3752,0,0,0,8,39,0,8,2,1,1,0,-1,-1,0,UNDERGROUND;ZMAX=1;OPEN_WATER;TEAMS=2,Divided LoyaltiesA.h3m
0,open,Dragon Orb,72,4,ROE,1,23,0,5184,True,1,2924,0,0,4,1,26,0,4,0,1,1,0,0,-1,34,UNDERGROUND;ZMAX=1;OPEN_WATER,Dragon Orb.h3m
